>>12:50:46 : снято : Нет связи с транспортным модулем
>>12:51:03 : выставлено : Нет связи с транспортным модулем
>>12:51:11 : снято : Нет связи с транспортным модулем
>>12:51:46 : выставлено : Нет связи с транспортным модулем
>>12:51:50 : снято : Нет связи с транспортным модулем
>>12:51:52 : выставлено : Нет связи с транспортным модулем
>>12:51:52 : снято : Нет связи с транспортным модулем
>>12:52:04 : выставлено : Нет связи с транспортным модулем
>>12:52:04 : снято : Нет связи с транспортным модулем
>>12:52:13 : выставлено : Нет связи с транспортным модулем
>>12:52:13 : снято : Нет связи с транспортным модулем
>>12:53:05 : выставлено : Нет связи с транспортным модулем
>>12:53:06 : снято : Нет связи с транспортным модулем
>>12:53:33 : выставлено : Нет связи с транспортным модулем
>>12:53:34 : снято : Нет связи с транспортным модулем
>>12:53:39 : выставлено : Нет связи с транспортным модулем
>>12:53:40 : снято : Нет связи с транспортным модулем
>>12:53:47 : выставлено : Нет связи с транспортным модулем
>>12:53:48 : снято : Нет связи с транспортным модулем
>>12:54:03 : выставлено : Нет связи с транспортным модулем
>>12:54:03 : снято : Нет связи с транспортным модулем
>>12:54:09 : выставлено : Нет связи с транспортным модулем
>>12:54:09 : снято : Нет связи с транспортным модулем
>>12:54:44 : выставлено : Нет связи с транспортным модулем
>>12:54:44 : снято : Нет связи с транспортным модулем
>>12:54:47 : выставлено : Нет связи с транспортным модулем
>>12:54:48 : снято : Нет связи с транспортным модулем
>>12:56:49 : выставлено : Нет связи с транспортным модулем
>>12:56:49 : снято : Нет связи с транспортным модулем
>>12:57:34 : выставлено : Нет связи с транспортным модулем
>>12:57:34 : снято : Нет связи с транспортным модулем
>>12:57:38 : выставлено : Нет связи с транспортным модулем
>>12:57:39 : снято : Нет связи с транспортным модулем
>>12:58:13 : выставлено : Нет связи с транспортным модулем
>>12:58:13 : снято : Нет связи с транспортным модулем
>>13:00:17 : выставлено : Нет связи с транспортным модулем
>>13:00:18 : снято : Нет связи с транспортным модулем
>>13:01:10 : выставлено : Нет связи с транспортным модулем
>>13:01:10 : снято : Нет связи с транспортным модулем
>>13:02:01 : выставлено : Нет связи с транспортным модулем
>>13:02:01 : снято : Нет связи с транспортным модулем
>>13:02:17 : выставлено : Нет связи с транспортным модулем
