>>10:33:45 : снято : Нет связи с транспортным модулем
>>10:33:47 : выставлено : Нет связи с транспортным модулем
>>10:33:48 : снято : Нет связи с транспортным модулем
>>10:33:48 : выставлено : Нет связи с транспортным модулем
>>10:33:50 : снято : Нет связи с транспортным модулем
>>10:33:52 : выставлено : Нет связи с транспортным модулем
>>10:33:53 : снято : Нет связи с транспортным модулем
>>10:33:54 : выставлено : Нет связи с транспортным модулем
>>10:33:55 : снято : Нет связи с транспортным модулем
>>10:33:57 : выставлено : Нет связи с транспортным модулем
>>10:34:25 : снято : Нет связи с транспортным модулем
>>10:34:25 : выставлено : Нет связи с транспортным модулем
>>10:34:52 : снято : Нет связи с транспортным модулем
>>10:34:53 : выставлено : Нет связи с транспортным модулем
>>10:35:20 : снято : Нет связи с транспортным модулем
>>10:35:21 : выставлено : Нет связи с транспортным модулем
>>10:35:49 : снято : Нет связи с транспортным модулем
>>10:35:49 : выставлено : Нет связи с транспортным модулем
>>10:36:16 : снято : Нет связи с транспортным модулем
>>10:36:17 : выставлено : Нет связи с транспортным модулем
>>10:36:45 : снято : Нет связи с транспортным модулем
>>10:36:45 : выставлено : Нет связи с транспортным модулем
>>10:37:12 : снято : Нет связи с транспортным модулем
>>10:37:13 : выставлено : Нет связи с транспортным модулем
>>10:37:20 : снято : Нет связи с транспортным модулем
>>10:37:21 : выставлено : Нет связи с транспортным модулем
>>10:37:49 : снято : Нет связи с транспортным модулем
>>10:37:49 : выставлено : Нет связи с транспортным модулем
>>10:38:14 : снято : Нет связи с транспортным модулем
>>10:38:15 : выставлено : Нет связи с транспортным модулем
>>10:38:15 : снято : Нет связи с транспортным модулем
>>10:38:16 : выставлено : Нет связи с транспортным модулем
>>10:38:17 : снято : Нет связи с транспортным модулем
>>10:38:18 : выставлено : Нет связи с транспортным модулем
>>10:38:18 : снято : Нет связи с транспортным модулем
>>10:38:20 : выставлено : Нет связи с транспортным модулем
>>10:38:20 : снято : Нет связи с транспортным модулем
>>10:38:21 : выставлено : Нет связи с транспортным модулем
>>10:38:22 : снято : Нет связи с транспортным модулем
>>10:38:23 : выставлено : Нет связи с транспортным модулем
>>10:38:24 : снято : Нет связи с транспортным модулем
>>10:38:25 : выставлено : Нет связи с транспортным модулем
>>10:38:25 : снято : Нет связи с транспортным модулем
>>00:00:00 : выставлено : Нет связи с транспортным модулем
>>00:00:00 : выставлено : Автосогласование ВЧГ ИП запрещено
>>00:00:00 : выставлено : Чиллер(п/д): авария
>>00:00:00 : выставлено : Нет давления в пневмосети
>>00:00:00 : выставлено : Нет охлаждения п/держателя
>>00:00:00 : выставлено : Нет охлаждения форнасоса камеры
>>00:00:00 : выставлено : ТМН: температура не в норме
>>00:00:00 : выставлено : Нет охлаждения ТМН
>>00:00:00 : выставлено : Ограничение движения УС ВЧГ ИП(грубо)
>>00:00:00 : выставлено : Ограничение движения УС ВЧГ ИП(точно)
>>00:00:00 : выставлено : Форнасос камеры: нет удаленного управления
>>00:00:00 : выставлено : Форнасос камеры: предупреждение
>>00:00:00 : выставлено : Нет воды в скруббере
>>00:00:00 : выставлено : Авария привода прижима 
>>10:43:50 : снято : Чиллер(п/д): авария
>>10:43:50 : снято : Нет давления в пневмосети
>>10:43:50 : снято : Нет охлаждения п/держателя
>>10:43:50 : снято : Ограничение движения УС ВЧГ ИП(грубо)
>>10:43:50 : снято : Ограничение движения УС ВЧГ ИП(точно)
>>10:43:50 : снято : Форнасос камеры: нет удаленного управления
>>10:43:50 : снято : Форнасос камеры: предупреждение
>>10:43:50 : снято : Нет воды в скруббере
>>10:43:50 : снято : Авария привода прижима 
>>00:00:00 : выставлено : Автосогласование ВЧГ ИП запрещено
>>00:00:00 : выставлено : Нет охлаждения форнасоса камеры
>>00:00:00 : выставлено : ТМН: температура не в норме
>>00:00:00 : выставлено : Нет охлаждения ТМН
>>10:44:29 : выставлено : Нет связи с транспортным модулем
